model,number_parameters,train_set,backbone,correlation,train_set_size,log_number_parameters,sqrt_number_parameters,power_number_parameters,training_method
convnext_base.clip_laion2b,87564416,laion2b,cnn,0.7695699074437473,2000000000.0,7.942327655546322,9357.586013497285,197190.098390829,clip
convnext_base.fb_in1k,87564416,in1k,cnn,0.29839314853909754,1281167.0,7.942327655546322,9357.586013497285,197190.098390829,supervised
convnext_base.fb_in22k,87564416,in22k,cnn,0.7934508078961581,14197122.0,7.942327655546322,9357.586013497285,197190.098390829,supervised
convnext_large.fb_in1k,196227264,in1k,cnn,0.19383179664212466,1281167.0,8.29275934851867,14008.11421997979,337680.6944962593,supervised
convnext_large.fb_in22k,196227264,in22k,cnn,0.7153865119102085,14197122.0,8.29275934851867,14008.11421997979,337680.6944962593,supervised
convnext_large_mlp.clip_laion2b_augreg,196227264,laion2b,cnn,0.7729563321447908,2000000000.0,8.29275934851867,14008.11421997979,337680.6944962593,clip
convnext_small.fb_in1k,49453152,in1k,cnn,0.3332265386052181,1281167.0,7.694193977481859,7032.293509232959,134729.48560448742,supervised
convnext_small.fb_in22k,49453152,in22k,cnn,0.7061620374331624,14197122.0,7.694193977481859,7032.293509232959,134729.48560448742,supervised
convnext_tiny.fb_in1k,27818592,in1k,cnn,0.36441504774231115,1281167.0,7.444335144990857,5274.333322800143,91810.02309945988,supervised
convnext_tiny.fb_in22k,27818592,in22k,cnn,0.4665775047367384,14197122.0,7.444335144990857,5274.333322800143,91810.02309945988,supervised
convnext_xxlarge.clip_laion2b_soup,843391872,laion2b,cnn,0.9142553522162598,2000000000.0,8.926029411283352,29041.20989215153,892660.4104043499,clip
cornet,52903616,in1k,cnn,0.23565245306054883,1281167.0,7.72348535738823,7273.487196661585,140925.71218557158,supervised
dino_base,86580480,LVD-142M,vit,0.8344385913659372,142000000.0,7.937419989201479,9304.863244561953,195710.1393351006,unsupervised
dino_giant,1136480768,LVD-142M,vit,0.6632535911940522,142000000.0,9.05556209081141,33711.73042132367,1089033.8873843346,unsupervised
dino_large,304368640,LVD-142M,vit,0.820554884771837,142000000.0,8.48339990376031,17446.1640482944,452480.5710090574,unsupervised
dino_small,22056576,LVD-142M,vit,0.7071208800930283,142000000.0,7.343538094698879,4696.442909266544,78648.79320145102,unsupervised
dinov3_7b,6716035072,LVD-1689M,vit,0.6848085571938982,1700000000.0,9.827112955413643,81951.41897490244,2373107.3142562215,unsupervised
dinov3_base,85660416,LVD-1689M,vit,0.8313517608938281,1700000000.0,7.932780179167086,9255.291243391533,194321.17123943623,unsupervised
dinov3_convnext_base,87566464,LVD-1689M,cnn,0.822754090415883,1700000000.0,7.942337812922325,9357.69544278932,197193.1730320721,unsupervised
dinov3_convnext_large,196230336,LVD-1689M,cnn,0.8223033208709188,1700000000.0,8.292766147483187,14008.223870284199,337684.2188192498,unsupervised
dinov3_convnext_small,49454688,LVD-1689M,cnn,0.79005427556573,1700000000.0,7.694207466328128,7032.402718843681,134732.27536153034,unsupervised
dinov3_convnext_tiny,27820128,LVD-1689M,cnn,0.6950905292329128,1700000000.0,7.444359123843152,5274.4789316102115,91813.40258748422,unsupervised
dinov3_huge,840592640,LVD-1689M,vit,0.8780601104538035,1700000000.0,8.924585583121976,28992.9757010211,890684.1461064301,unsupervised
dinov3_large,303129600,LVD-1689M,vit,0.8378280511375835,1700000000.0,8.481628346427028,17410.61745028016,451251.74840302987,unsupervised
dinov3_small,21596544,LVD-1689M,vit,0.7818364564633133,1700000000.0,7.334384258474264,4647.208194174218,77551.37559130824,unsupervised
resnet101.a1_in1k,42500160,in1k,cnn,0.24545201144801673,1281167.0,7.628390565038225,6519.214676630921,121784.97464001835,supervised
resnet101_clip.openai,42519392,openai-400m,cnn,0.30852624504246573,400000000.0,7.628587045763468,6520.6895340907,121821.71163148724,clip
resnet18.a1_in1k,11176512,in1k,cnn,0.12581982141467316,1281167.0,7.048306288746917,3343.1290731887693,49988.58679312491,supervised
resnet50.a1_in1k,23508032,in1k,cnn,0.19323231346317837,1281167.0,7.371216273220426,4848.508224186075,82062.39394165923,supervised
resnet50_clip.openai,23527264,openai-400m,cnn,0.1512217450022165,400000000.0,7.371571425739991,4850.491109155855,82107.14485478746,clip
vit_base_in22k,86389248,in22k,vit,0.8877730017920868,14197122.0,7.936459693580256,9294.581647390054,195421.85393729186,supervised
vit_base_patch16_224.augreg_in1k,85797120,in1k,vit,0.5786131496426097,1281167.0,7.933472709887164,9262.673480156795,194527.85885553824,supervised
vit_base_patch16_224.dino,85797120,in1k,vit,0.4324688581963383,1281167.0,7.933472709887164,9262.673480156795,194527.85885553824,unsupervised
vit_base_patch16_clip_224.laion2b,85797888,laion2b,vit,0.7961410698565499,2000000000.0,7.933476597391421,9262.714936777445,194529.01971169686,clip
vit_base_patch16_clip_224.openai,85797888,openai-400m,vit,0.563964159615319,400000000.0,7.933476597391421,9262.714936777445,194529.01971169686,clip
vit_giant_patch14_clip_224.laion2b,1011201024,laion2b,vit,0.7904778770352257,2000000000.0,9.004837500729968,31799.38716390616,1007453.4779549239,clip
vit_huge_in22k,632404480,in22k,vit,0.2082726831752227,14197122.0,8.800994937845225,25147.653568474336,736766.6490183222,supervised
vit_huge_patch14_clip_224.laion2b,630763520,laion2b,vit,0.802791891840253,2000000000.0,8.799866568105138,25115.005872983587,735491.5915767606,clip
vit_large_in22k,304351232,in22k,vit,0.7356653452801141,14197122.0,8.483375064096975,17445.665134926785,452463.3181215372,supervised
vit_large_patch14_clip_224.laion2b,303177728,laion2b,vit,0.8618415080942954,2000000000.0,8.481697294051123,17411.99954054674,451299.51074515673,clip
vit_large_patch14_clip_224.openai,303177728,openai-400m,vit,0.7293244485110839,400000000.0,8.481697294051123,17411.99954054674,451299.51074515673,clip
vit_small_in22k,21813504,in22k,vit,0.7639766764010123,14197122.0,7.338725433833349,4670.49290760622,78069.89990648715,supervised
vit_small_patch16_224.augreg_in1k,21664896,in1k,vit,0.43914920168252275,1281167.0,7.33575660859151,4654.556477259675,77714.92025926303,supervised
vit_small_patch16_224.dino,21664896,in1k,vit,0.38886138052303243,1281167.0,7.33575660859151,4654.556477259675,77714.92025926303,unsupervised
vit_tiny_in22k,5561472,in22k,vit,0.4545401754702703,14197122.0,6.745189755047522,2358.2773373799782,31390.134027939184,supervised
