,model,best_layer
0,convnext_tiny.fb_in22k,layer_3
1,vit_tiny_in22k,layer_13
2,convnext_tiny.fb_in1k,layer_3
3,dinov3_small,layer_13
4,dinov3_convnext_tiny,layer_4
5,vit_huge_in22k,layer_33
6,convnext_large.fb_in22k,layer_3
7,dinov3_huge,layer_29
8,cornet,layer_3
9,convnext_small.fb_in1k,layer_3
10,vit_large_in22k,layer_25
11,vit_base_in22k,layer_13
12,vit_base_patch16_clip_224.laion2b,layer_10
13,vit_base_patch16_clip_224.openai,layer_9
14,convnext_base.fb_in22k,layer_3
15,convnext_base.fb_in1k,layer_3
16,dinov3_large,layer_25
17,vit_huge_patch14_clip_224.laion2b,layer_24
18,vit_small_patch16_224.augreg_in1k,layer_11
19,dino_base,layer_12
20,dinov3_base,layer_13
21,vit_giant_patch14_clip_224.laion2b,layer_28
22,resnet18.a1_in1k,layer_4
23,dinov3_convnext_base,layer_5
24,resnet101_clip.openai,layer_4
25,resnet50.a1_in1k,layer_4
26,resnet101.a1_in1k,layer_4
27,convnext_small.fb_in22k,layer_3
28,vit_large_patch14_clip_224.laion2b,layer_19
29,dinov3_7b,layer_35
30,convnext_large_mlp.clip_laion2b_augreg,layer_3
31,convnext_large.fb_in1k,layer_3
32,dinov3_convnext_small,layer_5
33,vit_small_patch16_224.dino,layer_9
34,dino_small,layer_12
35,vit_small_in22k,layer_13
36,vit_large_patch14_clip_224.openai,layer_17
37,vit_base_patch16_224.dino,layer_6
38,resnet50_clip.openai,layer_4
39,convnext_xxlarge.clip_laion2b_soup,layer_3
40,dino_giant,layer_41
41,dino_large,layer_24
42,vit_base_patch16_224.augreg_in1k,layer_8
43,convnext_base.clip_laion2b,layer_3
44,dinov3_convnext_large,layer_5
