model,number_parameters,train_set,r_distance,r_distraction,r_distraction_and_costs,layer,train_set_size,power_number_parameters,log_number_parameters,backbone,training_method
convnext_base.clip_laion2b,87564416,laion2b,0.4078889360097737,0.44908048265685435,0.6163937114567718,layer_3,2000000000,197190.098390829,7.942327655546322,cnn,clip
convnext_base.fb_in1k,87564416,in1k,0.38019183690645153,0.2850078536295314,0.49538570282575717,layer_3,1281167,197190.098390829,7.942327655546322,cnn,supervised
convnext_base.fb_in22k,87564416,in22k,0.32322832310234795,0.26637574015318677,0.5019803876189718,layer_3,14197122,197190.098390829,7.942327655546322,cnn,supervised
convnext_large.fb_in1k,196227264,in1k,0.3473959227312585,0.25369862585121916,0.4820217848895453,layer_2,1281167,337680.6944962593,8.29275934851867,cnn,supervised
convnext_large.fb_in22k,196227264,in22k,0.33071124702470994,0.3040160497620271,0.5220653745964458,layer_3,14197122,337680.6944962593,8.29275934851867,cnn,supervised
convnext_large_mlp.clip_laion2b_augreg,196227264,laion2b,0.3969687907148821,0.4523412918365672,0.6226412986805945,layer_3,2000000000,337680.6944962593,8.29275934851867,cnn,clip
convnext_small.fb_in1k,49453152,in1k,0.3694364778953508,0.2633974500221714,0.48253683687544763,layer_3,1281167,134729.48560448742,7.694193977481859,cnn,supervised
convnext_small.fb_in22k,49453152,in22k,0.331033074525372,0.2629608685278749,0.48967367372804294,layer_3,14197122,134729.48560448742,7.694193977481859,cnn,supervised
convnext_tiny.fb_in1k,27818592,in1k,0.330656014485987,0.2139609441948819,0.45703803028681295,layer_1,1281167,91810.02309945988,7.444335144990857,cnn,supervised
convnext_tiny.fb_in22k,27818592,in22k,0.30841554605675825,0.24172337311284892,0.49027113590523624,layer_3,14197122,91810.02309945988,7.444335144990857,cnn,supervised
convnext_xxlarge.clip_laion2b_soup,843391872,laion2b,0.3697313821555993,0.4374155569479765,0.5724049549228334,layer_3,2000000000,892660.4104043499,8.926029411283352,cnn,clip
cornet,52903616,in1k,0.2984767052440631,0.21568493104290282,0.47990700271176,layer_2,1281167,140925.71218557158,7.72348535738823,cnn,supervised
dino_base,86580480,LVD-142M,0.2663729697394671,0.3843641544067049,0.6533039800237425,layer_13,142000000,195710.1393351006,7.937419989201479,vit,unsupervised
dino_giant,1136480768,LVD-142M,0.21898131502183127,0.2966408266564624,0.6193883323278649,layer_41,142000000,1089033.8873843346,9.05556209081141,vit,unsupervised
dino_large,304368640,LVD-142M,0.29533133469034695,0.4021684428782537,0.6576470475424993,layer_25,142000000,452480.5710090574,8.48339990376031,vit,unsupervised
dino_small,22056576,LVD-142M,0.28422074807113584,0.4280302413532891,0.6549021887292437,layer_13,142000000,78648.79320145102,7.343538094698879,vit,unsupervised
dinov3_7b,6716035072,LVD-1689M,0.3572018347164736,0.3752461184595301,0.5847195782879924,layer_41,1700000000,2373107.3142562215,9.827112955413643,vit,unsupervised
dinov3_base,85660416,LVD-1689M,0.40817153465009726,0.5318234935071605,0.6888260590944906,layer_13,1700000000,194321.17123943623,7.932780179167086,vit,unsupervised
dinov3_convnext_base,87566464,LVD-1689M,0.2953174195523042,0.46014332894152854,0.6731432708180446,layer_5,1700000000,197193.1730320721,7.942337812922325,cnn,unsupervised
dinov3_convnext_large,196230336,LVD-1689M,0.3405885564865584,0.47114250544004377,0.6887375605849299,layer_5,1700000000,337684.2188192498,8.292766147483187,cnn,unsupervised
dinov3_convnext_small,49454688,LVD-1689M,0.37005086899457373,0.4534153767123159,0.6441067418146621,layer_4,1700000000,134732.27536153034,7.694207466328128,cnn,unsupervised
dinov3_convnext_tiny,27820128,LVD-1689M,0.3574521329501707,0.5040917412382868,0.6933482562623864,layer_4,1700000000,91813.40258748422,7.444359123843152,cnn,unsupervised
dinov3_huge,840592640,LVD-1689M,0.2825570060753957,0.377618664668276,0.614214472203741,layer_33,1700000000,890684.1461064301,8.924585583121976,vit,unsupervised
dinov3_large,303129600,LVD-1689M,0.2576015707036947,0.3690511337847516,0.6212036194456958,layer_25,1700000000,451251.74840302987,8.481628346427028,vit,unsupervised
dinov3_small,21596544,LVD-1689M,0.4128607380069834,0.5442013320924134,0.7076750429925047,layer_13,1700000000,77551.37559130824,7.334384258474264,vit,unsupervised
resnet101.a1_in1k,42500160,in1k,0.31299785945941705,0.3183947821806141,0.48932460430360747,layer_3,1281167,121784.97464001835,7.628390565038225,cnn,supervised
resnet101_clip.openai,42519392,openai-400m,0.21042600984945273,0.2663761686410138,0.587178828413221,layer_4,400000000,121821.71163148724,7.628587045763468,cnn,clip
resnet18.a1_in1k,11176512,in1k,0.24230550166579795,0.28969531458304454,0.48987931599322865,layer_3,1281167,49988.58679312491,7.048306288746917,cnn,supervised
resnet50.a1_in1k,23508032,in1k,0.31560968263182,0.2974870743607163,0.5092545400940209,layer_3,1281167,82062.39394165923,7.371216273220426,cnn,supervised
resnet50_clip.openai,23527264,openai-400m,0.2565556025893171,0.3162422240038102,0.6330479323739429,layer_4,400000000,82107.14485478746,7.371571425739991,cnn,clip
vit_base_in22k,86389248,in22k,0.32229043110167566,0.4274575120139069,0.6050299487077149,layer_13,14197122,195421.85393729186,7.936459693580256,vit,supervised
vit_base_patch16_224.augreg_in1k,85797120,in1k,0.16638161857294323,0.34430604083534727,0.4936965073126476,layer_6,1281167,194527.85885553824,7.933472709887164,vit,supervised
vit_base_patch16_224.dino,85797120,in1k,0.26546204443632343,0.3317659714164764,0.5989299642683428,layer_8,1281167,194527.85885553824,7.933472709887164,vit,unsupervised
vit_base_patch16_clip_224.laion2b,85797888,laion2b,0.3001877948564967,0.3980700532691038,0.6081321788197291,layer_8,2000000000,194529.01971169686,7.933476597391421,vit,clip
vit_base_patch16_clip_224.openai,85797888,openai-400m,0.2314227365447981,0.30370858319773075,0.623874264398295,layer_9,400000000,194529.01971169686,7.933476597391421,vit,clip
vit_giant_patch14_clip_224.laion2b,1011201024,laion2b,0.18269620965795347,0.5113326912800082,0.5893924703037762,layer_24,2000000000,1007453.4779549239,9.004837500729968,vit,clip
vit_huge_in22k,632404480,in22k,0.0806547499081945,0.23205255358164098,0.5831440628558081,layer_32,14197122,736766.6490183222,8.800994937845225,vit,supervised
vit_huge_patch14_clip_224.laion2b,630763520,laion2b,0.2710925406065796,0.48240440065040985,0.6201169562644129,layer_19,2000000000,735491.5915767606,8.799866568105138,vit,clip
vit_large_in22k,304351232,in22k,0.28688400796946406,0.3616940612657482,0.6617909303069266,layer_25,14197122,452463.3181215372,8.483375064096975,vit,supervised
vit_large_patch14_clip_224.laion2b,303177728,laion2b,0.4199772925104929,0.5018378803421252,0.7343724987981861,layer_23,2000000000,451299.51074515673,8.481697294051123,vit,clip
vit_large_patch14_clip_224.openai,303177728,openai-400m,0.22709060603597064,0.3643530917053604,0.6329794474588325,layer_17,400000000,451299.51074515673,8.481697294051123,vit,clip
vit_small_in22k,21813504,in22k,0.2539512636739398,0.37327943269021024,0.6499435983020149,layer_13,14197122,78069.89990648715,7.338725433833349,vit,supervised
vit_small_patch16_224.augreg_in1k,21664896,in1k,0.22335132216323828,0.3213179266663532,0.6078893087395476,layer_8,1281167,77714.92025926303,7.33575660859151,vit,supervised
vit_small_patch16_224.dino,21664896,in1k,0.009627276753897282,0.29087502548394495,0.5037390702547249,layer_9,1281167,77714.92025926303,7.33575660859151,vit,unsupervised
vit_tiny_in22k,5561472,in22k,0.25330591419654375,0.3925825637841841,0.6579819977437301,layer_12,14197122,31390.134027939184,6.745189755047522,vit,supervised
