,model,r_distance,r_distraction,r_distraction_and_costs,best_layer
2,convnext_tiny.fb_in1k,0.330656014485987,0.2139609441948819,0.45703803028681295,layer_1
8,cornet,0.2984767052440631,0.21568493104290282,0.47990700271176,layer_2
5,vit_huge_in22k,0.0806547499081945,0.23205255358164098,0.5831440628558081,layer_32
0,convnext_tiny.fb_in22k,0.30841554605675825,0.24172337311284892,0.49027113590523624,layer_3
31,convnext_large.fb_in1k,0.3473959227312585,0.25369862585121916,0.4820217848895453,layer_2
27,convnext_small.fb_in22k,0.331033074525372,0.2629608685278749,0.48967367372804294,layer_3
9,convnext_small.fb_in1k,0.3694364778953508,0.2633974500221714,0.48253683687544763,layer_3
14,convnext_base.fb_in22k,0.32322832310234795,0.26637574015318677,0.5019803876189718,layer_3
24,resnet101_clip.openai,0.21042600984945273,0.2663761686410138,0.587178828413221,layer_4
15,convnext_base.fb_in1k,0.38019183690645153,0.2850078536295314,0.49538570282575717,layer_3
22,resnet18.a1_in1k,0.24230550166579795,0.28969531458304454,0.48987931599322865,layer_3
33,vit_small_patch16_224.dino,0.009627276753897282,0.29087502548394495,0.5037390702547249,layer_9
40,dino_giant,0.21898131502183127,0.2966408266564624,0.6193883323278649,layer_41
25,resnet50.a1_in1k,0.31560968263182,0.2974870743607163,0.5092545400940209,layer_3
13,vit_base_patch16_clip_224.openai,0.2314227365447981,0.30370858319773075,0.623874264398295,layer_9
6,convnext_large.fb_in22k,0.33071124702470994,0.3040160497620271,0.5220653745964458,layer_3
38,resnet50_clip.openai,0.2565556025893171,0.3162422240038102,0.6330479323739429,layer_4
26,resnet101.a1_in1k,0.31299785945941705,0.3183947821806141,0.48932460430360747,layer_3
18,vit_small_patch16_224.augreg_in1k,0.22335132216323828,0.3213179266663532,0.6078893087395476,layer_8
37,vit_base_patch16_224.dino,0.26546204443632343,0.3317659714164764,0.5989299642683428,layer_8
42,vit_base_patch16_224.augreg_in1k,0.16638161857294323,0.34430604083534727,0.4936965073126476,layer_6
10,vit_large_in22k,0.28688400796946406,0.3616940612657482,0.6617909303069266,layer_25
36,vit_large_patch14_clip_224.openai,0.22709060603597064,0.3643530917053604,0.6329794474588325,layer_17
16,dinov3_large,0.2576015707036947,0.3690511337847516,0.6212036194456958,layer_25
35,vit_small_in22k,0.2539512636739398,0.37327943269021024,0.6499435983020149,layer_13
29,dinov3_7b,0.3572018347164736,0.3752461184595301,0.5847195782879924,layer_41
7,dinov3_huge,0.2825570060753957,0.377618664668276,0.614214472203741,layer_33
19,dino_base,0.2663729697394671,0.3843641544067049,0.6533039800237425,layer_13
1,vit_tiny_in22k,0.25330591419654375,0.3925825637841841,0.6579819977437301,layer_12
12,vit_base_patch16_clip_224.laion2b,0.3001877948564967,0.3980700532691038,0.6081321788197291,layer_8
41,dino_large,0.29533133469034695,0.4021684428782537,0.6576470475424993,layer_25
11,vit_base_in22k,0.32229043110167566,0.4274575120139069,0.6050299487077149,layer_13
34,dino_small,0.28422074807113584,0.4280302413532891,0.6549021887292437,layer_13
39,convnext_xxlarge.clip_laion2b_soup,0.3697313821555993,0.4374155569479765,0.5724049549228334,layer_3
43,convnext_base.clip_laion2b,0.4078889360097737,0.44908048265685435,0.6163937114567718,layer_3
30,convnext_large_mlp.clip_laion2b_augreg,0.3969687907148821,0.4523412918365672,0.6226412986805945,layer_3
32,dinov3_convnext_small,0.37005086899457373,0.4534153767123159,0.6441067418146621,layer_4
23,dinov3_convnext_base,0.2953174195523042,0.46014332894152854,0.6731432708180446,layer_5
44,dinov3_convnext_large,0.3405885564865584,0.47114250544004377,0.6887375605849299,layer_5
17,vit_huge_patch14_clip_224.laion2b,0.2710925406065796,0.48240440065040985,0.6201169562644129,layer_19
28,vit_large_patch14_clip_224.laion2b,0.4199772925104929,0.5018378803421252,0.7343724987981861,layer_23
4,dinov3_convnext_tiny,0.3574521329501707,0.5040917412382868,0.6933482562623864,layer_4
21,vit_giant_patch14_clip_224.laion2b,0.18269620965795347,0.5113326912800082,0.5893924703037762,layer_24
20,dinov3_base,0.40817153465009726,0.5318234935071605,0.6888260590944906,layer_13
3,dinov3_small,0.4128607380069834,0.5442013320924134,0.7076750429925047,layer_13
