reference,n.turn,n.concat,n.trace,n.repeat,n.move,n.subprogram,n.next,n.fracp,n.fracn,n.pos,n.neg,n.nondef
./stimuli/cost-7/1610555638.44hjT5hbYdKoE3MB6hijrjqbjmLgvCUYKD.png,0,1,1,1,1,0,1,1,0,0,0,2
./stimuli/cost-7/1610557007.49MyVgDnuUuBxrvL6SGOdhKf69VYlW1MSm.png,0,1,2,0,0,0,2,0,0,1,2,3
./stimuli/cost-7/1610555644.45Xse8u7pusHNsd7F3d0A32HXvXr6weOJE.png,1,1,1,1,0,0,2,0,0,0,1,2
./stimuli/cost-7/1610555638.39J2ZWBLuLTHP0jOlzB4tNHmYeijH5g5YJ.png,1,1,1,1,0,0,1,1,0,0,0,2
./stimuli/cost-7/1610556032.17Q6yCDx9g7alRnL9jBFXD2JhhUyB2hKfJ.png,1,1,1,1,0,0,1,0,0,3,0,3
./stimuli/cost-7/1610556038.62a5C4ynd1AARyAhTv8a58NCqHvXRjscqH.png,0,1,2,1,0,0,1,1,0,0,0,2
./stimuli/cost-7/1610555608.13zUvmFSCRt6SsLbhqFznMEvGx54GPGQzM.png,0,0,1,0,0,0,3,1,0,0,0,2
./stimuli/cost-2/1610555605.43B6oDsBtWRQ29Q9UMQuTUEPZy3FSSWXzc.png,0,0,1,0,0,0,0,0,0,1,0,1
./stimuli/cost-3/1610555606.68LaSQbm9EHAFycEfFtEqAwYqlBsQPjIRW.png,0,0,1,0,0,0,0,0,0,2,0,2
./stimuli/cost-3/1610555617.19EKxMEwDHfXiEJZc27TsGoERaD6Da4BZU.png,0,1,2,0,0,0,0,0,0,1,0,1
./stimuli/cost-3/1610555610.92HPGJJSmyPM40z7otPBgHalNrHFA7zk5d.png,0,1,1,1,1,0,0,0,0,0,0,0
./stimuli/cost-9/1610556035.13a7NHZDutfTMJ88qle1gTYY59Dr4WmMsj.png,0,1,1,1,1,0,2,0,1,0,1,3
./stimuli/cost-9/1610556965.57S0adAalhWYe6K3bkZU0bRHbqnDK8gGkR.png,0,1,2,0,0,0,2,1,0,1,1,4
./stimuli/cost-9/1610556960.041xWER61rmArlsKfiMl4frikWmUCnQ7op.png,0,1,2,0,0,0,2,0,1,0,2,4
./stimuli/cost-9/1610555983.54zteLPCMjyrjzPdhHhlZr3faCgD0TfYr3.png,0,1,2,0,0,0,2,0,1,1,0,4
./stimuli/cost-9/1610555987.79rHnNRmt9a0ufmnwCvZqBouyUoZDNpylW.png,0,1,2,0,0,0,3,0,1,0,1,3
./stimuli/cost-9/1610555639.37BPZpgtGml8qUsh9AdV4m32jPLfI2aNFq.png,0,0,1,1,0,0,3,1,0,1,0,3
./stimuli/cost-9/1610556034.15BQxSbZINGCay0yp6RBVlgcPrw76Yn9ON.png,0,1,1,2,1,0,2,1,0,0,0,2
./stimuli/cost-1/1610555604.25mOvVXuL01OCiReyVWBfesjuvXmB3MoPy.png,0,0,1,0,0,0,0,0,0,0,0,0
./stimuli/cost-4/1610555721.82zWeNZfGUUfRJkgnAwlP8VMhPzXctnSd4.png,0,1,2,0,0,0,0,0,0,1,1,2
./stimuli/cost-4/1610555617.51LjzIROg0aeCP2GhDcAVQ0LipKJB9jmKc.png,1,1,1,1,0,0,0,0,0,0,1,1
./stimuli/cost-4/1610555617.52Ijr5puT55g9apK8auM7zaxa3NANg502t.png,0,1,1,1,1,0,0,0,0,1,0,1
./stimuli/cost-4/1610555638.77ZLjTLkz4jYJdFMI2wWBztzsDILkoOtAk.png,0,1,1,2,1,0,0,0,0,0,0,0
