model	best_layer_exp1	best_layer_exp2	best_layer_exp3
convnext_tiny.fb_in22k	layer_3	layer_3	layer_2
vit_tiny_in22k	layer_13	layer_12	layer_5
convnext_tiny.fb_in1k	layer_3	layer_1	layer_2
dinov3_small	layer_13	layer_13	layer_13
dinov3_convnext_tiny	layer_4	layer_4	layer_5
vit_huge_in22k	layer_33	layer_32	layer_32
convnext_large.fb_in22k	layer_3	layer_3	layer_1
dinov3_huge	layer_29	layer_33	layer_33
cornet	layer_3	layer_2	layer_2
convnext_small.fb_in1k	layer_3	layer_3	layer_1
vit_large_in22k	layer_25	layer_25	layer_25
vit_base_in22k	layer_13	layer_13	layer_3
vit_base_patch16_clip_224.laion2b	layer_10	layer_8	layer_8
vit_base_patch16_clip_224.openai	layer_9	layer_9	layer_8
convnext_base.fb_in22k	layer_3	layer_3	layer_1
convnext_base.fb_in1k	layer_3	layer_3	layer_1
dinov3_large	layer_25	layer_25	layer_25
vit_huge_patch14_clip_224.laion2b	layer_24	layer_19	layer_28
vit_small_patch16_224.augreg_in1k	layer_11	layer_8	layer_3
dino_base	layer_12	layer_13	layer_13
dinov3_base	layer_13	layer_13	layer_13
vit_giant_patch14_clip_224.laion2b	layer_28	layer_24	layer_35
resnet18.a1_in1k	layer_4	layer_3	layer_3
dinov3_convnext_base	layer_5	layer_5	layer_5
resnet101_clip.openai	layer_4	layer_4	layer_4
resnet50.a1_in1k	layer_4	layer_3	layer_3
resnet101.a1_in1k	layer_4	layer_3	layer_3
convnext_small.fb_in22k	layer_3	layer_3	layer_1
vit_large_patch14_clip_224.laion2b	layer_19	layer_23	layer_23
dinov3_7b	layer_35	layer_41	layer_34
convnext_large_mlp.clip_laion2b_augreg	layer_3	layer_3	layer_3
convnext_large.fb_in1k	layer_3	layer_2	layer_1
dinov3_convnext_small	layer_5	layer_4	layer_5
dino_small	layer_12	layer_13	layer_13
vit_small_in22k	layer_13	layer_13	layer_13
vit_large_patch14_clip_224.openai	layer_17	layer_17	layer_14
resnet50_clip.openai	layer_4	layer_4	layer_4
convnext_xxlarge.clip_laion2b_soup	layer_3	layer_3	layer_3
dino_giant	layer_41	layer_41	layer_41
dino_large	layer_24	layer_25	layer_25
vit_base_patch16_224.augreg_in1k	layer_8	layer_6	layer_7
convnext_base.clip_laion2b	layer_3	layer_3	layer_3
dinov3_convnext_large	layer_5	layer_5	layer_5
